Sort Type: Merge Sort - By Priority Level (Descending)
KPI Code; Pillar Code; Current Progress; Target Year; Priority Level; Reporting Ministry; Quarterly Change; Priority Score;
AN-3.1-9;A;27.6;2034;5;MOI;14.2;100;
AN-5.1-1;A;22.1;2031;5;MOD;8.9;100;
VS-3.3-3;V;12.4;2029;5;MOH;8.2;100;
TE-3.1-1;T;20.1;2030;5;MISA;7.2;100;
VS-5.3-8;V;15.1;2027;5;MOH;12.1;100;
VS-2.3-8;V;16.0;2027;5;MOU;8.5;100;
AN-4.2-7;A;16.5;2032;5;MOC;10.5;100;
AN-5.2-4;A;9.0;2035;5;MOI;9.0;100;
AN-4.3-9;A;5.8;2033;5;MOD;13.1;100;
AN-2.2-9;A;18.5;2035;5;MOI;5.4;100;
AN-2.2-1;A;13.6;2033;5;MOD;13.7;100;
AN-1.1-5;A;14.5;2031;5;MOC;7.3;100;
TE-3.2-7;T;24.3;2030;5;MOF;10.5;100;
AN-3.2-5;A;25.9;2033;5;MEW;5.9;100;
TE-2.1-8;T;23.5;2029;5;MOF;9.0;100;
TE-3.2-1;T;20.4;2031;5;MOF;12.3;100;
AN-5.2-1;A;20.1;2031;5;MFA;10.8;100;
AN-4.2-3;A;28.1;2032;5;MOD;11.2;100;
AN-5.1-8;A;21.2;2035;5;MEW;9.6;100;
AN-2.1-3;A;29.2;2032;5;MOI;8.9;100;
AN-2.1-8;A;17.6;2031;5;MOD;8.0;100;
TE-5.3-3;T;21.1;2031;5;MOT;7.7;100;
TE-2.1-9;T;25.7;2031;5;MISA;14.4;100;
AN-3.3-3;A;21.7;2032;5;MOC;11.5;100;
VS-3.3-6;V;29.3;2028;5;MOS;10.3;100;
AN-5.3-7;A;29.7;2030;5;MOI;8.7;100;
AN-5.2-7;A;25.4;2030;5;MOC;11.4;100;
TE-1.2-2;T;28.7;2030;5;MISA;12.3;100;
AN-1.2-3;A;21.5;2033;5;MOI;14.3;100;
TE-3.1-4;T;29.3;2030;5;MOL;9.3;100;
AN-1.1-7;A;25.1;2031;5;MOD;9.4;100;
AN-3.3-7;A;12.9;2031;5;MFA;13.2;100;
VS-2.1-3;V;14.5;2027;5;MOH;9.8;100;
AN-4.2-3;A;20.8;2031;5;MOI;10.6;100;
VS-1.3-5;V;17.6;2027;5;MOH;12.1;100;
AN-4.1-6;A;17.9;2033;5;MEW;9.9;100;
TE-4.1-4;T;22.5;2031;5;MOT;6.4;100;
TE-5.3-6;T;21.7;2030;5;MOC;9.5;100;
VS-2.3-1;V;28.5;2030;5;MOH;8.6;100;
AN-1.2-7;A;24.8;2030;5;MOI;8.8;100;
AN-5.3-4;A;5.8;2031;5;MOI;15.0;100;
VS-4.1-8;V;20.8;2030;5;MOH;8.9;100;
VS-2.2-3;V;20.3;2026;5;MCI;6.5;100;
VS-4.2-9;V;13.5;2026;5;MCI;14.2;100;
AN-1.2-8;A;5.2;2034;5;MOD;12.9;100;
VS-5.3-4;V;24.3;2028;5;MCY;7.0;100;
AN-3.3-2;A;7.8;2030;5;MOD;13.6;100;
TE-3.1-6;T;23.3;2030;5;MOL;7.8;100;
AN-2.2-8;A;9.2;2035;5;MFA;7.8;100;
AN-5.3-1;A;21.7;2032;5;MOI;14.6;100;
AN-3.1-2;A;24.6;2034;5;MOD;14.5;100;
AN-5.2-4;A;5.1;2032;5;MOD;10.3;100;
AN-5.3-5;A;12.2;2033;5;MOI;11.1;100;
AN-4.2-4;A;6.3;2032;5;MFA;6.2;100;
AN-5.2-9;A;10.7;2031;5;MEW;6.8;100;
VS-1.2-9;V;22.9;2029;5;MCY;11.8;100;
TE-3.2-8;T;29.0;2031;5;MOF;8.9;100;
AN-5.2-1;A;13.7;2035;5;MOC;7.3;100;
AN-2.2-9;A;28.4;2034;5;MEW;12.5;100;
VS-2.1-4;V;27.1;2026;5;MOS;8.4;100;
TE-3.1-4;T;21.2;2029;5;MOL;10.0;100;
VS-3.2-4;V;23.8;2029;5;MOU;7.1;100;
AN-3.1-9;A;6.8;2030;5;MOI;11.2;100;
VS-1.3-8;V;24.3;2028;5;MCY;13.3;100;
AN-2.3-3;A;25.9;2030;5;MOI;5.3;100;
AN-4.3-3;A;29.8;2032;5;MOD;12.2;100;
TE-1.1-5;T;20.0;2029;5;MISA;9.5;100;
AN-4.3-2;A;7.4;2033;5;MEW;10.1;100;
AN-5.2-5;A;20.8;2035;5;MOI;9.3;100;
VS-3.2-4;V;11.1;2029;5;MCY;14.2;100;
AN-5.1-8;A;10.1;2035;5;MFA;12.8;100;
AN-3.3-9;A;29.8;2031;5;MOI;8.1;100;
AN-5.2-4;A;25.7;2033;5;MOD;7.6;100;
TE-4.3-6;T;26.8;2030;5;MOT;5.5;100;
AN-3.1-4;A;5.1;2034;5;MEW;6.4;100;
VS-3.2-7;V;30.0;2026;5;MCY;7.6;100;
VS-5.1-6;V;10.1;2027;5;MOU;10.5;100;
AN-3.2-2;A;10.6;2034;5;MFA;7.4;100;
AN-1.3-6;A;19.6;2032;5;MFA;9.2;100;
VS-5.3-5;V;14.3;2030;5;MCY;6.2;100;
AN-4.3-5;A;23.3;2035;5;MOD;11.6;100;
TE-1.1-6;T;27.3;2030;5;MOF;10.6;100;
TE-2.2-4;T;28.2;2029;5;MOT;6.6;100;
VS-2.3-7;V;24.7;2026;5;MOS;9.8;100;
AN-5.3-3;A;14.1;2034;5;MOD;7.8;100;
VS-1.2-1;V;10.1;2026;5;MOS;10.5;100;
AN-3.2-7;A;8.8;2033;5;MOC;5.9;100;
VS-5.1-9;V;14.6;2026;5;MOH;6.6;100;
AN-1.2-4;A;8.6;2035;5;MEW;10.3;100;
VS-4.3-8;V;21.2;2026;5;MCY;14.2;100;
AN-3.1-2;A;6.9;2033;5;MEW;8.8;100;
AN-1.3-4;A;5.2;2031;5;MOI;12.3;100;
AN-2.3-6;A;29.0;2031;5;MOC;5.4;100;
VS-3.3-1;V;11.9;2027;5;MOS;7.4;100;
AN-4.3-3;A;27.8;2033;5;MOI;13.3;100;
TE-2.1-6;T;26.3;2029;5;MOT;11.4;100;
AN-3.1-7;A;17.5;2030;5;MOI;7.2;100;
VS-5.1-8;V;19.6;2030;5;MOU;6.0;100;
AN-1.1-8;A;15.5;2033;5;MOI;13.7;100;
TE-4.3-7;T;26.8;2029;5;MOC;11.2;100;
TE-2.1-7;T;28.9;2030;5;MOT;5.6;100;
VS-3.2-8;V;22.2;2026;5;MCI;7.6;100;
AN-4.3-1;A;29.5;2033;5;MFA;8.1;100;
VS-2.3-1;V;26.5;2029;5;MCY;9.1;100;
VS-5.3-5;V;17.7;2030;5;MOH;7.6;100;
TE-3.1-9;T;25.2;2030;5;MOT;5.6;100;
VS-4.2-8;V;23.2;2028;5;MCY;8.4;100;
TE-5.2-3;T;24.9;2031;5;MOT;10.1;100;
AN-4.2-7;A;7.1;2031;5;MOI;9.6;100;
AN-2.3-7;A;28.8;2035;5;MOC;8.9;100;
TE-1.1-6;T;26.8;2030;5;MOF;10.0;100;
VS-4.3-8;V;17.0;2028;5;MCI;5.6;100;
AN-5.2-1;A;13.3;2035;5;MOI;7.1;100;
AN-5.1-3;A;17.3;2030;5;MOI;13.8;100;
AN-2.2-9;A;29.5;2031;5;MOC;12.6;100;
AN-5.3-8;A;20.2;2032;5;MOC;6.0;100;
VS-1.2-6;V;23.1;2027;5;MOS;9.3;100;
AN-3.3-4;A;13.1;2030;5;MFA;12.7;100;
TE-2.3-6;T;22.5;2029;5;MOF;5.7;100;
VS-5.2-8;V;19.1;2026;5;MOS;10.8;100;
VS-5.3-4;V;18.5;2026;5;MOU;7.7;100;
AN-2.1-9;A;7.1;2034;5;MOC;7.8;100;
AN-5.3-2;A;22.4;2033;5;MOC;9.6;100;
VS-5.1-2;V;16.5;2026;5;MOU;5.5;100;
VS-2.1-2;V;17.2;2028;5;MOU;11.1;100;
AN-3.2-1;A;22.6;2031;5;MOC;12.7;100;
AN-1.1-1;A;12.2;2030;5;MOD;6.0;100;
VS-4.3-7;V;29.0;2029;5;MOH;13.3;100;
VS-2.2-8;V;12.8;2028;5;MOU;8.2;100;
AN-5.2-3;A;24.2;2033;5;MFA;14.4;100;
AN-5.2-6;A;25.7;2034;5;MOC;11.0;100;
VS-1.3-6;V;22.4;2030;5;MCY;6.4;100;
TE-1.3-6;T;28.2;2031;5;MOC;14.1;100;
AN-5.1-3;A;21.5;2034;5;MEW;8.5;100;
AN-2.3-2;A;13.4;2035;5;MOD;6.0;100;
AN-4.1-2;A;21.0;2030;5;MOD;7.2;100;
VS-4.3-5;V;19.2;2029;5;MOH;14.5;100;
AN-1.3-2;A;19.5;2031;5;MFA;6.9;100;
AN-3.2-9;A;29.1;2030;5;MOC;8.9;100;
AN-4.2-7;A;11.6;2031;5;MFA;12.5;100;
AN-5.3-5;A;14.4;2033;5;MOC;10.3;100;
AN-2.2-6;A;29.2;2030;5;MOI;9.3;100;
AN-5.3-2;A;7.6;2035;5;MFA;13.3;100;
TE-4.3-2;T;28.7;2031;5;MOF;9.1;100;
AN-3.2-7;A;9.0;2031;5;MEW;7.3;100;
VS-5.2-8;V;15.3;2027;5;MOS;14.7;100;
VS-2.1-2;V;25.3;2028;5;MOH;8.8;100;
VS-3.2-9;V;21.3;2029;5;MOH;7.3;100;
AN-5.1-8;A;18.8;2034;5;MOI;10.7;100;
VS-4.1-1;V;12.1;2028;5;MCY;8.3;100;
AN-4.2-1;A;21.5;2034;5;MOI;9.8;100;
TE-2.2-3;T;22.1;2029;5;MOF;9.8;100;
AN-3.2-1;A;11.0;2032;5;MFA;12.2;100;
AN-3.3-9;A;24.9;2035;5;MOD;11.2;100;
AN-1.3-5;A;29.4;2032;5;MOC;14.6;100;
VS-3.3-8;V;28.7;2027;5;MOH;14.8;100;
AN-5.2-4;A;12.9;2035;5;MEW;8.6;100;
AN-2.2-6;A;27.4;2032;5;MOI;12.5;100;
AN-4.3-9;A;9.6;2032;5;MEW;11.8;100;
TE-3.1-5;T;29.4;2029;5;MISA;7.3;100;
AN-1.3-7;A;15.8;2033;5;MOI;11.1;100;
AN-5.1-2;A;25.1;2031;5;MFA;14.6;100;
VS-4.1-4;V;18.2;2028;5;MCY;11.6;100;
TE-5.1-6;T;25.1;2030;5;MOF;14.2;100;
AN-1.2-3;A;9.1;2034;5;MOI;8.6;100;
AN-3.1-6;A;6.0;2033;5;MOD;10.8;100;
TE-4.2-4;T;26.3;2030;5;MOC;5.2;100;
AN-4.3-2;A;24.7;2030;5;MOD;6.7;100;
VS-4.3-6;V;27.7;2027;5;MOH;10.4;100;
AN-3.1-4;A;27.2;2031;5;MFA;8.2;100;
VS-5.2-6;V;16.5;2030;5;MCI;14.5;100;
VS-5.1-9;V;16.7;2027;5;MOH;6.6;100;
AN-3.1-3;A;25.2;2034;5;MEW;8.4;100;
AN-4.3-7;A;14.5;2030;5;MOI;8.1;100;
AN-1.2-4;A;10.1;2031;5;MOD;11.1;100;
AN-1.2-7;A;21.2;2034;5;MEW;9.5;100;
AN-1.3-2;A;9.2;2033;5;MEW;7.3;100;
TE-4.1-5;T;29.4;2029;5;MOT;5.2;100;
AN-1.1-5;A;12.5;2032;5;MOD;5.5;100;
AN-2.1-2;A;7.7;2033;5;MEW;6.6;100;
VS-2.1-6;V;14.4;2028;5;MOS;9.9;100;
AN-4.3-8;A;9.4;2032;5;MOC;6.4;100;
AN-3.2-3;A;15.5;2030;5;MEW;8.0;100;
AN-5.3-3;A;25.5;2031;5;MOC;10.8;100;
AN-2.1-1;A;6.6;2031;5;MOC;13.6;100;
AN-5.2-6;A;11.4;2033;5;MOI;10.6;100;
AN-2.3-1;A;23.4;2031;5;MOD;5.9;100;
AN-1.2-7;A;13.8;2035;5;MFA;8.2;100;
AN-4.1-4;A;7.3;2034;5;MOI;12.1;100;
AN-3.1-1;A;29.9;2034;5;MOI;5.5;100;
AN-1.1-8;A;24.1;2032;5;MEW;7.6;100;
AN-5.3-8;A;7.6;2035;5;MOC;14.1;100;
AN-4.3-5;A;8.4;2033;5;MOC;8.9;100;
TE-2.3-9;T;22.7;2030;5;MOL;12.4;100;
AN-1.3-7;A;26.3;2033;5;MOC;10.5;100;
AN-5.3-9;A;29.3;2033;5;MOC;8.2;100;
AN-5.3-8;A;17.7;2031;5;MOI;15.0;100;
AN-4.1-7;A;28.8;2030;5;MOI;7.7;100;
VS-3.2-6;V;27.3;2029;5;MCY;11.3;100;
VS-3.2-6;V;18.3;2028;5;MCI;8.8;100;
VS-4.2-6;V;14.8;2027;5;MCY;11.1;100;
VS-1.1-4;V;15.5;2026;5;MCI;12.6;100;
VS-3.2-1;V;13.4;2026;5;MOH;12.2;100;
AN-3.1-4;A;6.0;2032;5;MFA;14.9;100;
AN-5.1-2;A;21.7;2034;5;MOI;12.7;100;
AN-5.2-3;A;14.5;2034;5;MOC;7.7;100;
AN-4.3-4;A;17.6;2033;5;MOC;12.1;100;
AN-1.1-5;A;20.1;2031;5;MFA;11.7;100;
AN-2.2-7;A;22.2;2031;5;MOC;11.1;100;
AN-4.2-9;A;13.6;2034;5;MFA;6.3;100;
VS-2.2-9;V;17.8;2030;5;MCY;14.5;100;
AN-5.2-4;A;9.6;2033;5;MFA;11.2;100;
VS-2.3-5;V;22.0;2028;5;MCY;13.0;100;
VS-1.3-5;V;12.4;2028;5;MCY;8.6;100;
AN-1.3-2;A;22.3;2035;5;MOC;13.5;100;
VS-5.1-5;V;13.3;2028;5;MOH;10.2;100;
VS-3.2-6;V;28.3;2027;5;MOS;7.9;100;
AN-3.3-2;A;7.0;2030;5;MOC;15.0;100;
TE-3.2-5;T;27.6;2029;5;MISA;13.3;100;
TE-2.3-7;T;25.1;2030;5;MISA;7.3;100;
VS-3.3-6;V;17.9;2026;5;MCI;7.0;100;
TE-2.1-6;T;28.0;2030;5;MOF;9.1;100;
AN-3.2-5;A;19.1;2030;5;MFA;5.3;100;
VS-5.2-9;V;22.4;2026;5;MOU;9.0;100;
AN-3.3-2;A;9.4;2035;5;MOD;8.8;100;
AN-4.3-9;A;24.8;2032;5;MEW;10.5;100;
AN-3.3-5;A;10.2;2031;5;MOI;13.2;100;
AN-1.1-7;A;6.7;2033;5;MOD;10.8;100;
AN-4.3-5;A;6.7;2035;5;MOD;7.3;100;
VS-4.1-1;V;17.3;2026;5;MCI;11.7;100;
AN-2.2-5;A;17.0;2031;5;MOI;10.0;100;
TE-3.3-9;T;27.3;2030;5;MOC;9.0;100;
AN-5.3-3;A;6.9;2031;5;MOI;8.5;100;
TE-2.1-9;T;27.6;2031;5;MOL;5.4;100;
VS-3.3-8;V;14.3;2028;5;MCI;12.4;100;
AN-2.3-3;A;26.6;2030;5;MOD;8.5;100;
AN-5.2-4;A;22.4;2033;5;MFA;8.7;100;
VS-1.2-2;V;14.4;2030;5;MOU;7.4;100;
AN-1.2-7;A;29.9;2033;5;MOI;12.4;100;
AN-1.3-2;A;14.2;2035;5;MFA;6.7;100;
VS-3.3-4;V;29.7;2030;5;MOH;5.5;100;
AN-5.1-7;A;6.5;2034;5;MOD;5.6;100;
TE-3.1-9;T;27.3;2031;5;MOF;8.4;100;
VS-2.3-1;V;24.0;2027;5;MOH;7.3;100;
TE-5.3-9;T;21.3;2031;5;MOC;11.7;100;
AN-4.3-6;A;22.4;2030;5;MEW;15.0;100;
TE-3.2-8;T;21.8;2030;5;MOC;14.2;100;
AN-4.3-8;A;12.6;2030;5;MOI;12.4;100;
VS-3.3-7;V;29.5;2026;5;MCY;8.8;100;
VS-4.1-2;V;29.1;2029;5;MCY;13.0;100;
AN-4.3-9;A;12.1;2034;5;MOD;14.8;100;
AN-3.3-4;A;6.8;2034;5;MOC;8.0;100;
AN-4.2-1;A;7.1;2034;5;MOD;13.1;100;
AN-4.2-7;A;12.7;2035;5;MOD;6.4;100;
VS-3.2-3;V;24.7;2028;5;MOU;8.6;100;
TE-3.2-7;T;20.8;2031;5;MOF;12.5;100;
AN-2.2-6;A;9.7;2033;5;MEW;7.0;100;
VS-2.1-2;V;16.2;2027;5;MCI;13.4;100;
VS-5.2-6;V;18.2;2026;5;MOH;5.9;100;
VS-4.2-8;V;15.8;2027;5;MCI;12.6;100;
TE-2.1-9;T;28.2;2031;5;MOT;5.2;100;
VS-5.2-4;V;28.6;2028;5;MCY;13.0;100;
VS-4.2-6;V;21.4;2030;5;MOU;7.4;100;
VS-4.2-6;V;13.5;2026;5;MCY;6.9;100;
VS-5.1-5;V;29.7;2027;5;MOH;6.6;100;
TE-3.1-3;T;26.8;2030;5;MOT;12.9;100;
VS-4.2-2;V;29.9;2027;5;MOS;14.2;100;
AN-5.3-2;A;11.8;2032;5;MFA;5.6;100;
AN-2.2-1;A;7.0;2035;5;MOI;7.1;100;
AN-3.2-4;A;17.1;2033;5;MOI;10.3;100;
AN-4.3-1;A;16.5;2031;5;MOC;13.9;100;
TE-5.2-7;T;28.9;2029;5;MOL;14.2;100;
AN-2.3-2;A;23.8;2032;5;MEW;7.1;100;
AN-4.3-3;A;21.2;2030;5;MOI;7.4;100;
VS-1.2-5;V;10.9;2026;5;MCY;5.9;100;
AN-3.1-8;A;10.5;2030;5;MOC;11.4;100;
AN-5.3-4;A;14.1;2034;5;MEW;6.6;100;
TE-4.2-5;T;27.8;2031;5;MISA;8.4;100;
AN-3.2-6;A;8.1;2033;5;MOC;7.0;100;
AN-4.1-3;A;29.9;2034;5;MOC;13.0;100;
VS-4.1-9;V;28.9;2026;5;MCY;7.4;100;
AN-1.3-8;A;9.9;2035;5;MFA;7.4;100;
VS-4.2-2;V;19.6;2026;5;MCI;8.4;100;
VS-4.1-5;V;21.2;2029;5;MOU;8.5;100;
TE-2.3-4;T;25.6;2029;5;MISA;9.5;100;
AN-3.3-2;A;26.7;2035;5;MFA;14.1;100;
VS-5.3-1;V;24.0;2029;5;MCI;10.8;100;
VS-1.3-3;V;25.6;2029;5;MCI;10.7;100;
TE-5.3-3;T;29.6;2031;5;MOT;5.3;100;
AN-1.3-4;A;10.0;2032;5;MFA;14.8;100;
AN-5.1-6;A;29.4;2035;5;MOC;11.2;100;
VS-4.1-5;V;22.0;2028;5;MCY;6.7;100;
AN-1.2-1;A;16.4;2032;5;MEW;5.7;100;
TE-3.3-6;T;24.6;2031;5;MOL;11.0;100;
AN-2.3-3;A;28.2;2031;5;MEW;10.1;100;
TE-1.3-5;T;26.2;2029;5;MOT;6.2;100;
VS-1.2-2;V;16.4;2026;5;MOS;9.7;100;
TE-1.3-2;T;28.2;2029;5;MOC;11.6;100;
AN-4.1-1;A;25.9;2030;5;MOI;6.8;100;
AN-4.1-8;A;26.0;2030;5;MOD;7.3;100;
AN-4.2-6;A;22.9;2032;5;MOC;13.5;100;
AN-1.1-8;A;29.3;2032;5;MEW;9.4;100;
AN-2.1-3;A;16.1;2030;5;MEW;5.8;100;
AN-1.2-9;A;26.2;2032;5;MOI;14.9;100;
AN-5.1-4;A;22.4;2035;5;MOD;6.4;100;
TE-5.3-3;T;29.5;2031;5;MOF;6.9;100;
AN-3.3-9;A;9.3;2031;5;MEW;7.2;100;
AN-4.3-8;A;26.1;2034;5;MEW;7.4;100;
AN-2.3-9;A;21.0;2031;5;MEW;5.7;100;
TE-3.3-3;T;27.8;2031;5;MOT;10.4;100;
VS-2.1-5;V;25.4;2029;5;MOU;5.4;100;
AN-1.1-5;A;11.6;2033;5;MOI;10.1;100;
AN-3.1-7;A;21.9;2032;5;MOI;12.7;100;
AN-2.2-3;A;7.7;2034;5;MOI;13.1;100;
VS-4.3-3;V;25.4;2027;5;MCY;15.0;100;
AN-4.2-1;A;20.5;2031;5;MFA;5.3;100;
VS-2.2-5;V;29.1;2026;5;MCI;6.4;100;
TE-4.1-4;T;21.3;2031;5;MOC;14.1;100;
VS-3.3-5;V;15.7;2029;5;MOH;12.2;100;
AN-3.2-4;A;26.2;2032;5;MOC;8.7;100;
TE-3.1-9;T;28.8;2030;5;MOT;7.6;100;
AN-1.2-5;A;18.4;2030;5;MOI;12.8;100;
VS-2.2-4;V;22.3;2030;5;MOH;9.0;100;
VS-5.3-9;V;23.9;2026;5;MCI;10.6;100;
TE-5.2-9;T;24.9;2031;5;MOC;8.7;100;
AN-1.3-6;A;11.2;2033;5;MOD;9.7;100;
AN-2.2-1;A;23.4;2032;5;MFA;12.8;100;
AN-5.1-3;A;13.4;2031;5;MFA;13.9;100;
AN-4.1-1;A;12.5;2030;5;MEW;9.9;100;
AN-4.1-4;A;14.9;2033;5;MOD;12.0;100;
AN-4.2-8;A;26.9;2032;5;MEW;13.5;100;
